Price,Close,High,Low,Open,Volume
Ticker,PLD,PLD,PLD,PLD,PLD
Date,,,,,
2000-08-22,9.641438484191895,9.691136620708347,9.641438484191895,9.666287552450122,125500
2000-08-23,9.691137313842773,9.691137313842773,9.66628824380728,9.66628824380728,56800
2000-08-24,9.616588592529297,9.691135790920997,9.616588592529297,9.641437658659862,374300
2000-08-25,9.71599006652832,9.71599006652832,9.616593748712173,9.64144282816621,417400
2000-08-28,9.641438484191895,9.715985688966574,9.641438484191895,9.715985688966574,73500
2000-08-29,9.666285514831543,9.666285514831543,9.616587388791277,9.64143645181141,267600
2000-08-30,9.691137313842773,9.691137313842773,9.616590103736291,9.66628824380728,235200
2000-08-31,9.616588592529297,9.691135790920997,9.59173952639873,9.66628672479043,297800
2000-09-01,9.641438484191895,9.691136620708347,9.566891279417215,9.641438484191895,168000
2000-09-05,9.641438484191895,9.641438484191895,9.616589415933667,9.641438484191895,181700
2000-09-06,9.666285514831543,9.691134577851676,9.616587388791277,9.64143645181141,184000
2000-09-07,9.691137313842773,9.691137313842773,9.66628824380728,9.691137313842773,59000
2000-09-08,9.691137313842773,9.691137313842773,9.616590103736291,9.691137313842773,180800
2000-09-11,9.840234756469727,9.840234756469727,9.69114029046261,9.69114029046261,228900
2000-09-12,9.889934539794922,9.93963270331148,9.840236376278364,9.840236376278364,185700
2000-09-13,9.914779663085938,9.914779663085938,9.88993059124863,9.914779663085938,46900
2000-09-14,9.914779663085938,9.939628734923247,9.865081519411321,9.914779663085938,77700
2000-09-15,9.90235710144043,9.914781639836214,9.889932563044646,9.889932563044646,35100
2000-09-18,9.840234756469727,9.914781989473285,9.765687523466168,9.865083834137579,104800
2000-09-19,9.740836143493652,9.865081502466785,9.691137999904399,9.790534287082906,299100
2000-09-20,9.691137313842773,9.815382664020245,9.691137313842773,9.740835453913762,38200
2000-09-21,9.740836143493652,9.76568521528828,9.591741712725891,9.641439856315145,90800
2000-09-22,9.691137313842773,9.715986383878269,9.591741033700798,9.715986383878269,85400
2000-09-25,9.740836143493652,9.76568521528828,9.641439856315145,9.715987071699026,171200
2000-09-26,9.666285514831543,9.74083270389194,9.591738325771145,9.691134577851676,160100
2000-09-27,9.71599006652832,9.740839145982356,9.666291907620247,9.666291907620247,117700
2000-09-28,9.840234756469727,9.889932911805431,9.715989368130462,9.740838445798314,313700
2000-09-29,9.7656888961792,9.865085220822245,9.715990733857677,9.79053797733996,213800
2000-10-02,9.687978744506836,9.814124301075935,9.687978744506836,9.738436967134476,56800
2000-10-03,9.713210105895996,9.839355691686853,9.687980988737825,9.76366834021234,57900
2000-10-04,9.637517929077148,9.763663451709048,9.561830615498009,9.687976138129908,277700
2000-10-05,9.53661060333252,9.587068860493009,9.511381474752275,9.587068860493009,160700
2000-10-06,9.561837196350098,9.687982805800626,9.511378952569887,9.587066318240204,434500
2000-10-09,9.561837196350098,9.637524562020415,9.536608074459991,9.587066318240204,182700
2000-10-10,9.662749290466309,9.687978400885282,9.536603738371449,9.56183284879042,123300
2000-10-11,9.662749290466309,9.662749290466309,9.486145517533505,9.662749290466309,93900
2000-10-12,9.43569278717041,9.68798403816427,9.43569278717041,9.68798403816427,147500
2000-10-13,9.486149787902832,9.486149787902832,9.360004179021145,9.460920666126494,105100
2000-10-16,9.511375427246094,9.561833652324323,9.435688089628751,9.486146314706978,146600
2000-10-17,9.612296104431152,9.612296104431152,9.53660873353012,9.561837857163797,80000
2000-10-18,9.486149787902832,9.536608031455506,9.435691544350156,9.536608031455506,123600
2000-10-19,9.43569278717041,9.536609287567954,9.385234536971637,9.536609287567954,105400
2000-10-20,9.486149787902832,9.536608031455506,9.30954593546847,9.486149787902832,97300
2000-10-23,9.43569278717041,9.460921912269797,9.410463662071024,9.43569278717041,115400
2000-10-24,9.410457611083984,9.435686719960886,9.385228502207084,9.410457611083984,72000
2000-10-25,9.385231018066406,9.385231018066406,9.208627208586663,9.385231018066406,65600
2000-10-26,9.410457611083984,9.435686719960886,9.334770284453283,9.334770284453283,21900
2000-10-27,9.43569278717041,9.460921912269797,9.360005411872251,9.460921912269797,35000
2000-10-30,9.43569278717041,9.43569278717041,9.385234536971637,9.385234536971637,90100
2000-10-31,9.486149787902832,9.486149787902832,9.385233300797482,9.41046242257382,51900
2000-11-01,9.486149787902832,9.511378909679168,9.435691544350156,9.486149787902832,220400
2000-11-02,9.43569278717041,9.486151037369183,9.385234536971637,9.486151037369183,483200
2000-11-03,9.385231018066406,9.48614748062626,9.360001902426443,9.41046013370637,149500
2000-11-06,9.486149787902832,9.561837153231844,9.41046242257382,9.435691544350156,121400
2000-11-07,9.587066650390625,9.587066650390625,9.460921036569696,9.511379282098067,159300
2000-11-08,9.561837196350098,9.587066318240204,9.561837196350098,9.587066318240204,63800
2000-11-09,9.511375427246094,9.561833652324323,9.385229864550523,9.536604539785207,125900
2000-11-10,9.460918426513672,9.486147542317708,9.082481689453125,9.435689310709636,145900
2000-11-13,9.460918426513672,9.460918426513672,9.360001963297526,9.4104601949056,80900
2000-11-14,9.587066650390625,9.587066650390625,9.486150159333882,9.486150159333882,547000
2000-11-15,9.53661060333252,9.587068860493009,9.48615234617203,9.587068860493009,368900
2000-11-16,9.53661060333252,9.53661060333252,9.48615234617203,9.48615234617203,108300
2000-11-17,9.410457611083984,9.53660315546849,9.385228502207084,9.53660315546849,123600
2000-11-20,9.43569278717041,9.460921912269797,9.334776286772865,9.410463662071024,90400
2000-11-21,9.511375427246094,9.511375427246094,9.385229864550523,9.385229864550523,97000
2000-11-22,9.511375427246094,9.536604539785207,9.486146314706978,9.511375427246094,102300
2000-11-24,9.385231018066406,9.511376596266222,9.360001902426443,9.511376596266222,25100
2000-11-27,9.410457611083984,9.486144937714688,9.359999393330183,9.359999393330183,169300
2000-11-28,9.43569278717041,9.486151037369183,9.360005411872251,9.360005411872251,159100
2000-11-29,9.561837196350098,9.561837196350098,9.385233343119356,9.410462465009463,510900
2000-11-30,9.612296104431152,9.612296104431152,9.53660873353012,9.561837857163797,661400
2000-12-01,9.460918426513672,9.587064005533854,9.4104601949056,9.587064005533854,166500
2000-12-04,9.662749290466309,9.662749290466309,9.486145517533505,9.486145517533505,537700
2000-12-05,10.09164810180664,10.09164810180664,9.738440418243409,9.738440418243409,419700
2000-12-06,10.142107009887695,10.142107009887695,10.015961400311978,10.091648766057409,530200
2000-12-07,9.94027042388916,10.142103325897061,9.915041311138172,10.116874213146074,130400
2000-12-08,10.040677070617676,10.066291042736598,9.810151321547371,9.88699323790414,372100
2000-12-11,10.168746948242188,10.168746948242188,10.040677087433092,10.040677087433092,212700
2000-12-12,10.168746948242188,10.168746948242188,10.040677087433092,10.168746948242188,231400
